"ppe_number","ppe_address","school_inn"
101,"301510, Тульская обл., Арсеньевский район, п. Арсеньево, ул. Халтурина, д. 11","7121002693"
102,"301530, Тульская обл., Белевский район, г. Белев, ул. Советская, д. 91-А","7122007380"
104,"301317, Тульская обл., Веневский район, д. Кукуй, ул. Центральная, д. 22","7123005900"
106,"301321, Тульская обл., Веневский район, г. Венев, ул. Южный, д. 25","7123005932"
107,"301595, Тульская обл., Воловский район, с. Верхоупье, ул. Школьная, д. 25","7124003222"
108,"301000, Тульская обл., Заокский район, р.п. Заокский, ул. Северная, д. 7","7126025937"
109,"301160, Тульская обл., Дубенский район, п. Дубна, ул. Первомайская, д. 89-а","7125006674"
110,"301990, Тульская обл., Каменский район, с. Архангельское, ул. Тихомирова, д. 28","7127001424"
113,"301260, Тульская обл., Киреевский район, г. Киреевск, ул. Торговая, д. 22 а","7128004989"
115,"301264, Тульская обл., Киреевский район, г. Липки, ул. Комсомольская, д. 2а","7128008849"
116,"301273, Тульская обл., Киреевский район, п. Бородинский, ул. Комсомольская, д. 11","7128006376"
117,"301280, Тульская обл., Киреевский район, г. Болохово, ул. Советская, д. 16","7128009384"
118,"301260, Тульская обл., Киреевский район, г. Киреевск, ул. Чехова, д. 13","7128028387"
122,"301940, Тульская обл., Куркинский район, р.п. Куркино, ул. Школьная, д. 6а","7129002896"
124,"301131, Тульская обл., Ленинский район, п. Ленинский, ул. Гагарина, д. 11","7130030168"
125,"301114, Тульская обл., Ленинский район, п. Октябрьский, д. 90","7130030175"
126,"301121, Тульская обл., Ленинский район, п. Иншинский, д. 37","7130006648"
127,"301440, Тульская обл., Одоевский район, р.п. Одоев, ул. Победы, д. 4","7131002981"
128,"301470, Тульская обл., Плавский район, г. Плавск, ул. Победы, д. 22","7132003339"
129,"301430, Тульская обл., Суворовский район, г. Суворов, ул. Пионерская, д. 4","7133010000"
130,"301900, Тульская обл., Тепло-Огаревский район, п.г.т. Теплое, ул. Комсомольская, д. 28","7132013640"
131,"301090, Тульская обл., Чернский район, п. Чернь, ул. Космонавтов, д. 39","7135004436"
133,"301030, Тульская обл., Ясногорский район, г. Ясногорск, ул. П.Смидовича, д. 3","7136005591"
134,"301030, Тульская обл., Ясногорский район, г. Ясногорск, ул. Щербина, д. 7","7136001075"
138,"301369, Тульская обл., Алексинский район, г. Алексин, ул. 50 лет Октября, д. 10","7111012325"
141,"301364, Тульская обл., Алексинский район, г. Алексин, ул. Сосновая, д. 1","7111012452"
144,"301361, Тульская обл., Алексинский район, г. Алексин, ул. Баумана, д. 6","7111012477"
146,"301361, Тульская обл., Алексинский район, г. Алексин, ул. Северная, д. 23","7111012318"
147,"301832, Тульская обл., г. Богородицк, ул. Л. Толстого, д. 5","7112006290"
148,"301835, Тульская обл., Богородицкий район, г. Богородицк, ул. Макаренко, д. 16","7112006525"
149,"301761, Тульская обл., г. Донской, мкр. Центральный, ул. Западная, д. 27","7114006087"
151,"301790, Тульская обл., г. Донской, мкр.Северо-Задонск, ул. Горького, д. 9","7114006055"
152,"301766, Тульская обл., г. Донской, мкр. Центральный, ул. Новая, д. 50","7114006111"
155,"301770, Тульская обл., г. Донской, мкр. Новоугольный, ул. Кирова, д. 12","7114005968"
156,"301841, Тульская обл., Ефремовский район, г. Ефремов, ул. Строителей, д. 57","7113010250"
157,"301840, Тульская обл., Ефремовский район, г. Ефремов, ул. Словацкого восстания, д. 16","7113010242"
158,"301845, Тульская обл., Ефремовский район, г. Ефремов, ул. Дружбы, д. 7","7113009906"
159,"301721, Тульская обл., г. Кимовск, ул. Бессолова, д. 65","7115006805"
160,"301723, Тульская обл., г. Кимовск, ул. Крылова, д. 6","7115006795"
164,"301650, Тульская обл., Новомосковский район, г. Новомосковск, ул. Бережного, д. 9","7116026434"
165,"301650, Тульская обл., Новомосковский район, г. Новомосковск, ул. Бережного, д. 16","7116028907"
167,"301665, Тульская обл., Новомосковский район, г. Новомосковск, ул. Демкина, д. 7","7116032580"
168,"301681, Тульская обл., Новомосковский район, г. Новомосковск, мкр. Сокольники, ул. Пушкина, д. 9","7116032734"
170,"301668, Тульская обл., Новомосковский район, г. Новомосковск, ул. Орджоникидзе, д. 4а","7116032318"
171,"301657, Тульская обл., Новомосковский район, г. Новомосковск, ул. Школьная, д. 13","7116031586"
173,"301668, Тульская обл., Новомосковский район, г. Новомосковск, ул. Молодёжная, д. 2а","7116032283"
177,"301666, Тульская обл., Новомосковский район, г. Новомосковск, ул. Проспект Победы, д. 4","7116031770"
178,"301650, Тульская обл., Новомосковский район, г. Новомосковск, ул. Московская, д. 9","7116001239"
183,"301602, Тульская обл., г. Узловая, ул. 14 Декабря, д. 32","7117010412"
184,"301607, Тульская обл., Узловский район, г. Узловая, ул. Смоленского, д. 3","7117010437"
185,"301607, Тульская обл., Узловский район, г. Узловая, ул. Завенягина, д. 32","7117001538"
186,"301632, Тульская обл., Узловский район, п. Дубовка, ул. Пионерская, д. 30","7117010395"
188,"301245, Тульская обл., Щекинский район, г. Щекино, ул. Пролетарская, д. 10","7118014593"
189,"301241, Тульская обл., Щекинский район, г. Щекино, ул. Пионерская, д. 5","7118002380"
190,"301246, Тульская обл., Щекинский район, г. Щекино, ул. Юбилейная, д. 1","7118014554"
191,"301248, Тульская обл., Щекинский район, г. Щекино, ул. Л.Толстого, д. 49","7118014473"
193,"300026, Тульская обл., г. Тула, ул. Николая Руднева, д. 62","7107060446"
194,"300026, Тульская обл., г. Тула, ул. Шевченко, д. 21","7107110129"
195,"300045, Тульская обл., г. Тула, п.Осиновая гора, мкр-н Левобережный, ул. Героя России Макаровца, д. 1","7107061104"
197,"300911, Тульская обл., г. Тула, ул. Скуратовский микрорайон, д. 10","7107109780"
198,"300041, Тульская обл., г. Тула, ул. Сойфера, д. 8","7106034997"
199,"300041, Тульская обл., г. Тула, ул. Демонстрации, д. 6","7106034980"
200,"300045, Тульская обл., г. Тула, ул. Фрунзе, д. 18","7106034468"
201,"300028, Тульская обл., г. Тула, ул. Ф.Энгельса, д. 68","7106034637"
202,"300010, Тульская обл., г. Тула, ул. Кутузова, д. 112","7105044696"
203,"300001, Тульская обл., г. Тула, ул. Калинина, д. 7","7105025566"
204,"300001, Тульская обл., г. Тула, ул. Вильямса, д. 10","7105044382"
205,"300031, Тульская обл., г. Тула, ул. 1 проезд Металлургов, д. 7","7105025647"
206,"300004, Тульская обл., г. Тула, ул. Кирова, д. 186","7105025414"
208,"300028, Тульская обл., г. Тула, ул. Серебровская, д. 32","7104069673"
209,"300036, Тульская обл., г. Тула, ул. Кабакова, д. 92","7104032909"
210,"300903, Тульская обл., п. Косая гора, ул. М.Горького, д. 40","7104069730"
212,"300044, Тульская обл., г. Тула, ул. Галкина, д. 29","7103045503"
213,"300062, Тульская обл., г. Тула, ул. Литейная, д. 25","7103045920"
214,"300002, Тульская обл., г. Тула, ул. Октябрьская, д. 199","7103045567"
215,"300057, Тульская обл., г. Тула, ул. Герцена, д. 50","7103045888"
216,"300044, Тульская обл., г. Тула, ул. М.Горького, д. 41","7103020788"
223,"301761, Тульская обл., г. Донской, ул. 30 лет Победы, д. 15","7114007228"
225,"301840, Тульская обл., Ефремовский район, г. Ефремов, ул. Карла Маркса, д. 41","7113009984"
230,"301823, Тульская обл., Богородицкий район, п. Товарковский, пр-д Третий, д. 2А","7112006162"
233,"301247, Тульская обл., г. Щекино, ул. Лукашина, д. 2в","7118014547"
236,"301601, Тульская обл., г. Узловая, ул. Трудовые резервы, д. 7","7117010282"
237,"301650, Тульская обл., г. Новомосковск, ул. Трудовые резервы, д. 21","7116032607"
240,"300011, Тульская обл., г. Тула, ул. пос. Озерный, д. -","7107060277"
280,"301361, Тульская обл., г. Алексин, ул. Горького, д. 21","7111007928"
281,"301000, Тульская обл., Заокский район, п. Заокский, ул. Гагарина, д. 1 б","7126025253"
282,"301650, Тульская обл., Новомосковский район, г. Новомосковск, ул. Пионерская, д. 12","7116030381"
283,"301650, Тульская обл., Новомосковский район, г. Новомосковск, ул. Присягина, д. 1/5","7116031089"
284,"300600, Тульская обл., г. Тула, ул. Бундурина, д. 56","7106015666"
285,"300045, Тульская обл., г. Тула, ул. Некрасова, д. 8","7105012905"
300,"301781, Тульская обл., г. Донской,микрорайон Комсомольский, пр-д Димитрова, д. 1","7107060277"
301,"301782, Тульская обл., г. Донской, мкр.Шахтерский, ул. Луговая, д. 1-а","7107060277"
303,"301472, Тульская обл., Плавский район, п. Белая Гора","7107060277"
304,"300012, Тульская обл., г. Тула, ул. Мориса Тореза, д. 11 а","7107060277"
305,"301654, Тульская обл., Новомосковский район, г. Новомосковск, ул. Центральная, д. 27","7107060277"
306,"300012, Тульская обл., г. Тула, ул. Мориса Тореза, д. 11 б","7107060277"
307,"301363, Тульская обл., Щекинский район, п. Первомайский, ул. Пролетарская, д. 5","7118008960"
372,"300012, Тульская обл., г. Тула, ул. Мориса Тореза, д. 11 а","7107060277"
